"Question","Correct Answer","Option","Option","Option"
"Q1. What is the time complexity of the following code in terms of n?

for (int i = 1; i <= n; i = i * 2)
    for (int j = 0; j < n; j++)
        printf(""*"");","O(n log n)","O(n)","O(n^2)","O(log n)"
"Q2 (Time). Consider:

void recursion(int N) {
    if (N == 0) return;
    printf(""%d\n"", N);
    recursion(N - 1);
}

What is the TIME complexity?","O(N)","O(1)","O(2^N)","O(log N)"
"Q2 (Space). Consider:

void recursion(int N) {
    if (N == 0) return;
    printf(""%d\n"", N);
    recursion(N - 1);
}

What is the SPACE complexity?","O(N)","O(1)","O(log N)","O(2^N)"
"Q3. What is the time complexity of the following code?

void calc(int arr[], int N) {
    int j = 0;
    for (int i = 0; i < N; i++) {
        while (j < N && arr[i] < arr[j]) {
            j++;
        }
    }
}","O(N)","O(log N)","O(N * log N)","O(N^2)"
"Q4. A singly linked list contains the nodes A -> B -> C -> D -> NULL, and head is a pointer to node A. After executing head->next = head->next->next;, which statement is correct?","The list becomes A -> C -> D -> NULL; node B is leaked","The list becomes A -> C -> D -> NULL; no memory leak","The list becomes B -> C -> D -> NULL; node A is leaked","The program crashes with a segmentation fault"
"Q5. A singly linked list maintains both head and tail pointers. Which of the following operations is NOT O(1)?","Delete from tail","Insert at head","Insert at tail","Delete from head"
"Q6. Consider the following function intended to free every node of a singly linked list:

void destroyList(struct Node *head) {
    while (head != NULL) {
        free(head);
        head = head->next;
    }
}

What is wrong with this code?","After free(head), accessing head->next reads freed memory — undefined behavior","The base case is incorrect; should be head == NULL","The function will crash with a segmentation fault if head is NULL when called","The function correctly frees all nodes"
"Q7. A queue is implemented as a circular array of capacity 8, with fields front, rear (next insertion index), and size. Currently front = 6, rear = 2, size = 4. Which array indices currently hold queue elements?","6, 7, 0, 1","2, 3, 4, 5","6, 7, 8, 0","0, 1, 6, 7"
"Q8. Items 1, 2, 3, 4, 5 are pushed onto a stack in that order. They are then popped one at a time and each popped item is immediately enqueued onto a queue. After all five items are transferred, the queue is fully dequeued. In what order are the items dequeued?","5, 4, 3, 2, 1","1, 2, 3, 4, 5","1, 3, 5, 4, 2","5, 1, 4, 2, 3"
"Q9. What does the following declaration declare?

int (*funcs[10])(int, int);","An array of 10 pointers to functions, each taking two ints and returning an int","An array of 10 functions, each returning an int and taking two int parameters","A pointer to an array of 10 functions","A function returning an array of 10 ints"
"Q10. Which qsort comparator sorts an array of struct Student by score in DESCENDING order, with ties broken alphabetically by name?

struct Student { char name[100]; int score; };","int cmp(const void *a, const void *b) {
    struct Student *sa = (struct Student*)a;
    struct Student *sb = (struct Student*)b;
    if (sa->score != sb->score)
        return sb->score - sa->score;
    return strcmp(sa->name, sb->name);
}","int cmp(const void *a, const void *b) {
    return ((struct Student*)b)->score - ((struct Student*)a)->score;
}","int cmp(const void *a, const void *b) {
    struct Student *sa = (struct Student*)a;
    struct Student *sb = (struct Student*)b;
    if (sa->score != sb->score)
        return sa->score - sb->score;
    return strcmp(sa->name, sb->name);
}","int cmp(const void *a, const void *b) {
    return ((struct Student*)b)->score - ((struct Student*)a)->score
         + strcmp(((struct Student*)a)->name, ((struct Student*)b)->name);
}"
"Q11. You want to sort the following array of strings alphabetically:

char *names[] = {""banana"", ""apple"", ""cherry""};
qsort(names, 3, sizeof(char *), cmp);

Which definition of cmp works correctly?","int cmp(const void *a, const void *b) {
    return strcmp(*(char **)a, *(char **)b);
}","Pass strcmp directly as cmp","int cmp(const void *a, const void *b) {
    return strcmp((char *)a, (char *)b);
}","int cmp(const void *a, const void *b) {
    return *(char *)a - *(char *)b;
}"
"Q12. Assume a hypothetical system where sizeof(char) = 1, sizeof(int) = 4, alignment is 4 bytes (every member starts at a 4-byte boundary, struct size rounded up to a multiple of 4).

struct S {
    char a;
    int  b;
    char c;
};

What is sizeof(struct S)?","12","6","9","16"
"Q13. On a BIG-ENDIAN system (the most-significant byte is stored at the lowest memory address). Assume sizeof(int) = 4 and sizeof(char) = 1.

union U {
    int  i;
    char c[4];
};
union U u;
u.i = 0x12345678;

What is the value of u.c[0]?","0x12","0x78","0x34","0x56"
"Q14. Given int arr[3][4]; and sizeof(int) = 2, what is (address of arr[2][2]) - (address of arr[1][2]), in bytes?","8","16","4","12"
"Q15. Consider:

int a[3][4];
int *q       = a[0];
int (*p)[4]  = a;

Initially q and p hold the same address — the address of a[0][0]. After executing q++ and p++ (assume sizeof(int) = 2), by how many bytes have q and p moved, respectively?","2 bytes, 8 bytes","4 bytes, 16 bytes","8 bytes, 8 bytes","2 bytes, 2 bytes"
